"Subject","Cond","Skew","Trial","Label","PSize","NSize","Est"
168,4,"Neg",1,"h",130,150,77
168,4,"Neg",2,"d",70,110,53
168,4,"Neg",3,"a",40,40,30
168,4,"Neg",4,"c",60,100,39
168,4,"Neg",5,"b",50,70,35
168,4,"Neg",6,"g",100,140,68
168,4,"Neg",7,"f",90,130,59
168,4,"Neg",8,"i",160,160,111
168,4,"Neg",9,"e",80,120,47
168,4,"Neg",10,"f",90,130,56
168,4,"Neg",11,"d",70,110,50
168,4,"Neg",12,"h",130,150,80
168,4,"Neg",13,"e",80,120,53
168,4,"Neg",14,"b",50,70,36
168,4,"Neg",15,"i",160,160,107
168,4,"Neg",16,"a",40,40,29
168,4,"Neg",17,"g",100,140,70
168,4,"Neg",18,"c",60,100,44
168,4,"Neg",19,"f",90,130,54
168,4,"Neg",20,"e",80,120,48
168,4,"Neg",21,"b",50,70,35
168,4,"Neg",22,"i",160,160,108
168,4,"Neg",23,"g",100,140,66
168,4,"Neg",24,"a",40,40,28
168,4,"Neg",25,"d",70,110,45
168,4,"Neg",26,"h",130,150,88
168,4,"Neg",27,"c",60,100,41
169,5,"Pos",1,"e",80,120,101
169,5,"Pos",2,"h",130,150,165
169,5,"Pos",3,"a",40,40,34
169,5,"Pos",4,"g",100,140,123
169,5,"Pos",5,"d",70,110,63
169,5,"Pos",6,"i",160,160,188
169,5,"Pos",7,"b",50,70,57
169,5,"Pos",8,"f",90,130,100
169,5,"Pos",9,"c",60,100,63
169,5,"Pos",10,"i",160,160,188
169,5,"Pos",11,"d",70,110,75
169,5,"Pos",12,"b",50,70,42
169,5,"Pos",13,"a",40,40,38
169,5,"Pos",14,"f",90,130,107
169,5,"Pos",15,"c",60,100,79
169,5,"Pos",16,"h",130,150,193
169,5,"Pos",17,"g",100,140,170
169,5,"Pos",18,"e",80,120,111
169,5,"Pos",19,"h",130,150,209
169,5,"Pos",20,"f",90,130,117
169,5,"Pos",21,"c",60,100,70
169,5,"Pos",22,"e",80,120,118
169,5,"Pos",23,"b",50,70,59
169,5,"Pos",24,"d",70,110,83
169,5,"Pos",25,"i",160,160,212
169,5,"Pos",26,"g",100,140,156
169,5,"Pos",27,"a",40,40,38
170,6,"Pos",1,"a",40,40,28
170,6,"Pos",2,"h",130,150,131
170,6,"Pos",3,"g",100,140,118
170,6,"Pos",4,"c",60,100,60
170,6,"Pos",5,"f",90,130,112
170,6,"Pos",6,"i",160,160,165
170,6,"Pos",7,"b",50,70,48
170,6,"Pos",8,"d",70,110,76
170,6,"Pos",9,"e",80,120,80
170,6,"Pos",10,"a",40,40,34
170,6,"Pos",11,"c",60,100,68
170,6,"Pos",12,"d",70,110,77
170,6,"Pos",13,"g",100,140,115
170,6,"Pos",14,"h",130,150,180
170,6,"Pos",15,"b",50,70,52
170,6,"Pos",16,"e",80,120,110
170,6,"Pos",17,"f",90,130,138
170,6,"Pos",18,"i",160,160,174
170,6,"Pos",19,"i",160,160,180
170,6,"Pos",20,"g",100,140,150
170,6,"Pos",21,"f",90,130,147
170,6,"Pos",22,"d",70,110,118
170,6,"Pos",23,"c",60,100,85
170,6,"Pos",24,"e",80,120,100
170,6,"Pos",25,"a",40,40,33
170,6,"Pos",26,"h",130,150,163
170,6,"Pos",27,"b",50,70,62
171,7,"Neg",1,"f",90,130,149
171,7,"Neg",2,"b",50,70,53
171,7,"Neg",3,"h",130,150,167
171,7,"Neg",4,"g",100,140,150
171,7,"Neg",5,"d",70,110,103
171,7,"Neg",6,"e",80,120,147
171,7,"Neg",7,"a",40,40,35
171,7,"Neg",8,"i",160,160,180
171,7,"Neg",9,"c",60,100,69
171,7,"Neg",10,"i",160,160,201
171,7,"Neg",11,"f",90,130,156
171,7,"Neg",12,"a",40,40,39
171,7,"Neg",13,"h",130,150,152
171,7,"Neg",14,"b",50,70,56
171,7,"Neg",15,"d",70,110,110
171,7,"Neg",16,"e",80,120,145
171,7,"Neg",17,"g",100,140,161
171,7,"Neg",18,"c",60,100,86
171,7,"Neg",19,"d",70,110,112
171,7,"Neg",20,"i",160,160,192
171,7,"Neg",21,"a",40,40,39
171,7,"Neg",22,"b",50,70,62
171,7,"Neg",23,"h",130,150,155
171,7,"Neg",24,"c",60,100,98
171,7,"Neg",25,"f",90,130,155
171,7,"Neg",26,"e",80,120,123
171,7,"Neg",27,"g",100,140,156
172,8,"Neg",1,"i",160,160,153
172,8,"Neg",2,"f",90,130,83
172,8,"Neg",3,"b",50,70,52
172,8,"Neg",4,"h",130,150,128
172,8,"Neg",5,"c",60,100,53
172,8,"Neg",6,"d",70,110,63
